Term,NES,FDR q-val,Perturbation
METABOLISM_OF_RNA,3.64358823,0,flutamide
RRNA_PROCESSING,3.436637185,0,flutamide
TELOMERE_MAINTENANCE,2.515692989,0.000866849,flutamide
TRANSLATION,2.402031133,0.001300274,flutamide
EXTENSION_OF_TELOMERES,2.335771521,0.002600547,flutamide
MITOTIC_G2_G2_M_PHASES,2.317576529,0.002600547,flutamide
MRNA_SPLICING,2.193619932,0.007058628,flutamide
DNA_REPLICATION,2.102859452,0.010402188,flutamide
RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES,2.090884919,0.010980087,flutamide
RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES,2.057733118,0.012222571,flutamide
GPCR_LIGAND_BINDING,-2.238474106,0.08042667,lonidamine
MUSCLE_CONTRACTION,1.931232429,0.56417021,lonidamine
RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,1.870612729,0.446351532,lonidamine
EUKARYOTIC_TRANSLATION_INITIATION,1.841015385,0.365917626,lonidamine
CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,-1.876982372,0.583967559,lonidamine
P75_NTR_RECEPTOR_MEDIATED_SIGNALLING,1.794475296,0.391124026,lonidamine
NEDDYLATION,1.783754455,0.333744064,lonidamine
SARS_COV_2_ACTIVATES_MODULATES_INNATE_AND_ADAPTIVE_IMMUNE_RESPONSES,1.782850253,0.280385797,lonidamine
SELENOAMINO_ACID_METABOLISM,1.756994007,0.283379816,lonidamine
REGULATION_OF_PLK1_ACTIVITY_AT_G2_M_TRANSITION,1.756024838,0.250223083,lonidamine
CELLULAR_RESPONSE_TO_STARVATION,3.196896288,0,TG-101348
CELL_CYCLE_CHECKPOINTS,-2.52080127,0,TG-101348
S_PHASE,-2.632516553,0,TG-101348
DNA_REPLICATION,-2.735307725,0,TG-101348
ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S,2.740489956,0,TG-101348
CELL_CYCLE,-2.754601406,0,TG-101348
CELL_CYCLE_MITOTIC,-2.822460212,0,TG-101348
SYNTHESIS_OF_DNA,-2.685219873,0,TG-101348
DNA_STRAND_ELONGATION,-2.830580326,0,TG-101348
EUKARYOTIC_TRANSLATION_ELONGATION,2.969256869,0,TG-101348
GPCR_LIGAND_BINDING,-2.56236835,0.000742744,MLN-8054
SIGNALING_BY_GPCR,-2.359084384,0.004827837,MLN-8054
CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,-2.109600466,0.033423485,MLN-8054
CLASS_B_2_SECRETIN_FAMILY_RECEPTORS,-1.979636427,0.072046179,MLN-8054
MITF_M_DEPENDENT_GENE_EXPRESSION,-1.967683255,0.062687603,MLN-8054
PEPTIDE_LIGAND_BINDING_RECEPTORS,-1.940993101,0.061895343,MLN-8054
AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,1.984196008,0.948944477,MLN-8054
RESPIRATORY_ELECTRON_TRANSPORT,1.983658925,0.477050892,MLN-8054
MITF_M_REGULATED_MELANOCYTE_DEVELOPMENT,-1.919669771,0.061223336,MLN-8054
DEVELOPMENTAL_CELL_LINEAGES,-1.848440453,0.089500666,MLN-8054
TRANSLATION,3.346966389,0,sparfosic-acid
RRNA_PROCESSING,2.999200045,0,sparfosic-acid
RESPIRATORY_ELECTRON_TRANSPORT,2.763079012,0.002637674,sparfosic-acid
